library_name,preset,sim_threads,compress_threads,queue_depth,output_size_kb,busy_time_sec,target_cpu_time_sec,wall_clock_sec,sim_baseline_sec,sim_slowdown_sec,sim_slowdown_pct,sim_cpu_sec,sim_wall_sec,sim_cpu_interference_sec,sim_cpu_interference_pct,compress_cpu_sec,compress_wall_sec,compress_baseline_sec,compress_cpu_interference_sec,compress_cpu_interference_pct,compress_contention_sec,compress_contention_pct,total_outputs,input_mb,output_mb,compression_ratio,queue_full_events,empty_poll_events
NONE,best,4,2,32,4096,4,16,4.02371,4.01791,0.00580443,0.144464,16.0666,16.0948,0.066578,0.416112,16.0666,4.02371,0,0,0,0,0,16,64,0,64000,0,0
ZSTD,best,4,2,32,4096,4,16,5.702,4.02867,1.67334,41.5357,26.9811,22.808,10.9811,68.6318,26.9811,5.702,9.21149,17.7696,192.907,-3.50949,-38.099,16,64,48.0456,1.33207,0,0
LZ4,best,4,2,32,4096,4,16,4.02154,4.02139,0.000158017,0.00392942,17.6702,16.0862,1.67019,10.4387,17.6702,4.02154,1.17263,16.4976,1406.88,2.84891,242.95,16,64,64.1212,0.99811,0,64
ZLIB,best,4,2,32,4096,4,16,4.11229,4.01492,0.097372,2.42525,17.873,16.4492,1.873,11.7062,17.873,4.11229,1.38995,16.483,1185.87,2.72234,195.858,16,64,48.4705,1.32039,0,64
SNAPPY,best,4,2,32,4096,4,16,4.10682,4.01173,0.0950985,2.37051,16.0689,16.4273,0.068855,0.430344,16.0689,4.10682,0.00504041,16.0638,318700,4.10178,81377.9,16,64,64.003,0.999953,0,82
BROTLI,best,4,2,32,4096,4,16,28.5237,4.02353,24.5002,608.922,72.8976,114.095,56.8976,355.61,72.8976,28.5237,50.7217,22.1759,43.7208,-22.198,-43.7643,16,64,48.0017,1.33328,0,0
LZMA,best,4,2,32,4096,4,16,8.38145,4.023,4.35845,108.338,32.7746,33.5258,16.7746,104.841,32.7746,8.38145,14.4808,18.2938,126.331,-6.09937,-42.1203,16,64,49.0611,1.3045,0,0
BZIP2,best,4,2,32,4096,4,16,4.11746,4.02706,0.0903946,2.24468,20.9397,16.4698,4.93967,30.8729,20.9397,4.11746,3.52912,17.4106,493.34,0.588338,16.671,16,64,48.338,1.32401,0,33
Blosc2,best,4,2,32,4096,4,16,4.12425,4.01004,0.11421,2.84811,16.1116,16.497,0.111601,0.697506,16.1116,4.12425,0.0288712,16.0827,55705.1,4.09538,14185,16,64,64.0049,0.999924,0,82
ZFP,best,4,2,32,4096,4,16,4.08156,4.02756,0.0540068,1.34093,16.6206,16.3263,0.620552,3.87845,16.6206,4.08156,0.319112,16.3014,5108.38,3.76245,1179.04,16,64,33.8017,1.8934,0,76
SZ3,best,4,2,32,4096,4,16,4.10617,4.02516,0.0810126,2.01266,16.4545,16.4247,0.454472,2.84045,16.4545,4.10617,0.312267,16.1422,5169.35,3.7939,1214.95,16,64,2.11495,30.2608,0,78
FPZIP,best,4,2,32,4096,4,16,4.12914,4.02183,0.107314,2.6683,16.7519,16.5166,0.7519,4.69938,16.7519,4.12914,0.512924,16.239,3165.96,3.61622,705.02,16,64,39.5806,1.61696,0,75
